Level,RequiredStrength
273,23250000000
274,23500000000
275,23750000000
276,24000000000
277,24250000000
278,24500000000
279,24750000000
280,25000000000
281,25250000000
282,25500000000
283,25750000000
284,26000000000
285,26250000000
286,26500000000
287,26750000000
288,27000000000
289,27250000000
290,27500000000
291,27750000000
292,28000000000
293,28250000000
294,28500000000
295,28750000000
296,29000000000
297,29250000000
298,29500000000
299,29750000000
300,30000000000
301,30250000000
302,30500000000
303,30750000000
304,31000000000
305,31250000000
306,31500000000
307,31750000000
308,32000000000
309,32250000000
310,32500000000
311,32750000000
312,33000000000
313,33250000000
314,33500000000
315,33750000000
316,34000000000
317,34250000000
318,34500000000
319,34750000000
320,35000000000
321,35250000000
322,35500000000
323,35750000000
324,36000000000
325,36250000000
326,36500000000
327,36750000000
328,37000000000
329,37250000000
330,37500000000
331,37750000000
332,38000000000
333,38250000000
334,38500000000
335,38750000000
336,39000000000
337,39250000000
338,39500000000
339,39750000000
340,40000000000
341,40250000000
342,40500000000
343,40750000000
344,41000000000
345,41250000000
346,41500000000
347,41750000000
348,42000000000
349,42250000000
350,42500000000
351,42750000000
352,43000000000
353,43250000000
354,43500000000
355,43750000000
356,44000000000
357,44250000000
358,44500000000
359,44750000000
360,45000000000
361,45250000000
362,45500000000
363,45750000000
364,46000000000
365,46250000000
366,46500000000
367,46750000000
368,47000000000
369,47250000000
370,47500000000
371,47750000000
372,48000000000
373,48250000000
374,48500000000
375,48750000000
376,49000000000
377,49250000000
378,49500000000
379,49750000000
380,50000000000
381,50250000000
382,50500000000
383,50750000000
384,51000000000
385,51250000000
386,51500000000
387,51750000000
388,52000000000
389,52250000000
390,52500000000
391,52750000000
392,53000000000
393,53250000000
394,53500000000
395,53750000000
396,54000000000
397,54250000000
398,54500000000
399,54750000000
400,55000000000
401,55250000000
402,55500000000
403,55750000000
404,56000000000
405,56250000000
406,56500000000
407,56750000000
408,57000000000
409,57250000000
410,57500000000
411,57750000000
412,58000000000
413,58250000000
414,58500000000
415,58750000000
416,59000000000
417,59250000000
418,59500000000
419,59750000000
420,60000000000
421,60250000000
422,60500000000
423,60750000000
424,61000000000
425,61250000000
426,61500000000
427,61750000000
428,62000000000
429,62250000000
430,62500000000
431,62750000000
432,63000000000
433,63250000000
434,63500000000
435,63750000000
436,64000000000
437,64250000000
438,64500000000
439,64750000000
440,65000000000
441,65250000000
442,65500000000
443,65750000000
444,66000000000
445,66250000000
446,66500000000
447,66750000000
448,67000000000
449,67250000000
450,67500000000
451,67750000000
452,68000000000
453,68250000000
454,68500000000
455,68750000000
456,69000000000
457,69250000000
458,69500000000
459,69750000000
460,70000000000
461,70250000000
462,70500000000
463,70750000000
464,71000000000
465,71250000000
466,71500000000
467,71750000000
468,72000000000
469,72250000000
470,72500000000
471,72750000000
472,73000000000
473,73250000000
474,73500000000
475,73750000000
476,74000000000
477,74250000000
478,74500000000
479,74750000000
480,75000000000
481,75250000000
482,75500000000
483,75750000000
484,76000000000
485,76250000000
486,76500000000
487,76750000000
488,77000000000
489,77250000000
490,77500000000
491,77750000000
492,78000000000
493,78250000000
494,78500000000
495,78750000000
496,79000000000
497,79250000000
498,79500000000
499,79750000000
500,80000000000
501,80250000000
502,80500000000
503,80750000000
504,81000000000
505,81250000000
506,81500000000
507,81750000000
508,82000000000
509,82250000000
510,82500000000
511,82750000000
512,83000000000
513,83250000000
514,83500000000
515,83750000000
516,84000000000
517,84250000000
518,84500000000
519,84750000000
520,85000000000
521,85250000000
522,85500000000
523,85750000000
524,86000000000
525,86250000000
526,86500000000
527,86750000000
528,87000000000
529,87250000000
530,87500000000
531,87750000000
532,88000000000
533,88250000000
534,88500000000
535,88750000000
536,89000000000
537,89250000000
538,89500000000
539,89750000000
540,90000000000
541,90250000000
542,90500000000
543,90750000000
544,91000000000
545,91250000000
546,91500000000
547,91750000000
548,92000000000
549,92250000000
550,92500000000
551,92750000000
552,93000000000
553,93250000000
554,93500000000
555,93750000000
556,94000000000
557,94250000000
558,94500000000
559,94750000000
560,95000000000
561,95250000000
562,95500000000
563,95750000000
564,96000000000
565,96250000000
566,96500000000
567,96750000000
568,97000000000
569,97250000000
570,97500000000
571,97750000000
572,98000000000
573,98250000000
574,98500000000
575,98750000000
576,99000000000
577,99250000000
578,99500000000
579,99750000000
580,100000000000
581,100250000000
582,100500000000
583,100750000000
584,101000000000
585,101250000000
586,101500000000
587,101750000000
588,102000000000
589,102250000000
590,102500000000
591,102750000000
592,103000000000
593,103250000000
594,103500000000
595,103750000000
596,104000000000
597,104250000000
598,104500000000
599,104750000000
600,105000000000
601,105250000000
602,105500000000
603,105750000000
604,106000000000
605,106250000000
606,106500000000
607,106750000000
608,107000000000
609,107250000000
610,107500000000
611,107750000000
612,108000000000
613,108250000000
614,108500000000
615,108750000000
616,109000000000
617,109250000000
618,109500000000
619,109750000000
620,110000000000
621,110250000000
622,110500000000
623,110750000000
624,111000000000
625,111250000000
626,111500000000
627,111750000000
628,112000000000
629,112250000000
630,112500000000
631,112750000000
632,113000000000
633,113250000000
634,113500000000
635,113750000000
636,114000000000
637,114250000000
638,114500000000
639,114750000000
640,115000000000
641,115250000000
642,115500000000
643,115750000000
644,116000000000
645,116250000000
646,116500000000
647,116750000000
648,117000000000
649,117250000000
650,117500000000
651,117750000000
652,118000000000
653,118250000000
654,118500000000
655,118750000000
656,119000000000
657,119250000000
658,119500000000
659,119750000000
660,120000000000
661,120250000000
662,120500000000
663,120750000000
664,121000000000
665,121250000000
666,121500000000
667,121750000000
668,122000000000
669,122250000000
670,122500000000
671,122750000000
672,123000000000
673,123250000000
674,123500000000
675,123750000000
676,124000000000
677,124250000000
678,124500000000
679,124750000000
680,125000000000
681,125250000000
682,125500000000
683,125750000000
684,126000000000
685,126250000000
686,126500000000
687,126750000000
688,127000000000
689,127250000000
690,127500000000
691,127750000000
692,128000000000
693,128250000000
694,128500000000
695,128750000000
696,129000000000
697,129250000000
698,129500000000
699,129750000000
700,130000000000
701,130250000000
702,130500000000
703,130750000000
704,131000000000
705,131250000000
706,131500000000
707,131750000000
708,132000000000
709,132250000000
710,132500000000
711,132750000000
712,133000000000
713,133250000000
714,133500000000
715,133750000000
716,134000000000
717,134250000000
718,134500000000
719,134750000000
720,135000000000
721,135250000000
722,135500000000
723,135750000000
724,136000000000
725,136250000000
726,136500000000
727,136750000000
728,137000000000
729,137250000000
730,137500000000
731,137750000000
732,138000000000
733,138250000000
734,138500000000
735,138750000000
736,139000000000
737,139250000000
738,139500000000
739,139750000000
740,140000000000
741,140250000000
742,140500000000
743,140750000000
744,141000000000
745,141250000000
746,141500000000
747,141750000000
748,142000000000
749,142250000000
750,142500000000
751,142750000000
752,143000000000
753,143250000000
754,143500000000
755,143750000000
756,144000000000
757,144250000000
758,144500000000
759,144750000000
760,145000000000
761,145250000000
762,145500000000
763,145750000000
764,146000000000
765,146250000000
766,146500000000
767,146750000000
768,147000000000
769,147250000000
770,147500000000
771,147750000000
772,148000000000
773,148250000000
774,148500000000
775,148750000000
776,149000000000
777,149250000000
778,149500000000
779,149750000000
780,150000000000
781,150250000000
782,150500000000
783,150750000000
784,151000000000
785,151250000000
786,151500000000
787,151750000000
788,152000000000
789,152250000000
790,152500000000
791,152750000000
792,153000000000
793,153250000000
794,153500000000
795,153750000000
796,154000000000
797,154250000000
798,154500000000
799,154750000000
800,155000000000
801,155250000000
802,155500000000
803,155750000000
804,156000000000
805,156250000000
806,156500000000
807,156750000000
808,157000000000
809,157250000000
810,157500000000
811,157750000000
812,158000000000
813,158250000000
814,158500000000
815,158750000000
816,159000000000
817,159250000000
818,159500000000
819,159750000000
820,160000000000
821,160250000000
822,160500000000
823,160750000000
824,161000000000
825,161250000000
826,161500000000
827,161750000000
828,162000000000
829,162250000000
830,162500000000
831,162750000000
832,163000000000
833,163250000000
834,163500000000
835,163750000000
836,164000000000
837,164250000000
838,164500000000
839,164750000000
840,165000000000
841,165250000000
842,165500000000
843,165750000000
844,166000000000
845,166250000000
846,166500000000
847,166750000000
848,167000000000
849,167250000000
850,167500000000
851,167750000000
852,168000000000
853,168250000000
854,168500000000
855,168750000000
856,169000000000
857,169250000000
858,169500000000
859,169750000000
860,170000000000
861,170250000000
862,170500000000
863,170750000000
864,171000000000
865,171250000000
866,171500000000
867,171750000000
868,172000000000
869,172250000000
870,172500000000
871,172750000000
872,173000000000
873,173250000000
874,173500000000
875,173750000000
876,174000000000
877,174250000000
878,174500000000
879,174750000000
880,175000000000
881,175250000000
882,175500000000
883,175750000000
884,176000000000
885,176250000000
886,176500000000
887,176750000000
888,177000000000
889,177250000000
890,177500000000
891,177750000000
892,178000000000
893,178250000000
894,178500000000
895,178750000000
896,179000000000
897,179250000000
898,179500000000
899,179750000000
900,180000000000
901,180250000000
902,180500000000
903,180750000000
904,181000000000
905,181250000000
906,181500000000
907,181750000000
908,182000000000
909,182250000000
910,182500000000
911,182750000000
912,183000000000
913,183250000000
914,183500000000
915,183750000000
916,184000000000
917,184250000000
918,184500000000
919,184750000000
920,185000000000
921,185250000000
922,185500000000
923,185750000000
924,186000000000
925,186250000000
926,186500000000
927,186750000000
928,187000000000
929,187250000000
930,187500000000
931,187750000000
932,188000000000
933,188250000000
934,188500000000
935,188750000000
936,189000000000
937,189250000000
938,189500000000
939,189750000000
940,190000000000
941,190250000000
942,190500000000
943,190750000000
944,191000000000
945,191250000000
946,191500000000
947,191750000000
948,192000000000
949,192250000000
950,192500000000
951,192750000000
952,193000000000
953,193250000000
954,193500000000
955,193750000000
956,194000000000
957,194250000000
958,194500000000
959,194750000000
960,195000000000
961,195250000000
962,195500000000
963,195750000000
964,196000000000
965,196250000000
966,196500000000
967,196750000000
968,197000000000
969,197250000000
970,197500000000
971,197750000000
972,198000000000
973,198250000000
974,198500000000
975,198750000000
976,199000000000
977,199250000000
978,199500000000
979,199750000000
980,200000000000
981,200250000000
982,200500000000
983,200750000000
984,201000000000
985,201250000000
986,201500000000
987,201750000000
988,202000000000
989,202250000000
990,202500000000
991,202750000000
992,203000000000
993,203250000000
994,203500000000
995,203750000000
996,204000000000
997,204250000000
998,204500000000
999,204750000000
1000,205000000000
1001,205250000000
1002,205500000000
1003,205750000000
1004,206000000000
1005,206250000000
1006,206500000000
1007,206750000000
1008,207000000000
1009,207250000000
1010,207500000000
1011,207750000000
1012,208000000000
1013,208250000000
1014,208500000000
1015,208750000000
1016,209000000000
1017,209250000000
1018,209500000000
1019,209750000000
1020,210000000000
1021,210250000000
1022,210500000000
1023,210750000000
1024,211000000000
1025,211250000000
1026,211500000000
1027,211750000000
1028,212000000000
1029,212250000000
1030,212500000000
1031,212750000000
1032,213000000000
1033,213250000000
1034,213500000000
1035,213750000000
1036,214000000000
1037,214250000000
1038,214500000000
1039,214750000000
1040,215000000000
1041,215250000000
1042,215500000000
1043,215750000000
1044,216000000000
1045,216250000000
1046,216500000000
1047,216750000000
1048,217000000000
1049,217250000000
1050,217500000000
1051,217750000000
1052,218000000000
1053,218250000000
1054,218500000000
1055,218750000000
1056,219000000000
1057,219250000000
1058,219500000000
1059,219750000000
1060,220000000000
1061,220250000000
1062,220500000000
1063,220750000000
1064,221000000000
1065,221250000000
1066,221500000000
1067,221750000000
1068,222000000000
1069,222250000000
1070,222500000000
1071,222750000000
1072,223000000000
1073,223250000000
1074,223500000000
1075,223750000000
1076,224000000000
1077,224250000000
1078,224500000000
1079,224750000000
1080,225000000000
1081,225250000000
1082,225500000000
1083,225750000000
1084,226000000000
1085,226250000000
1086,226500000000
1087,226750000000
1088,227000000000
1089,227250000000
1090,227500000000
1091,227750000000
1092,228000000000
1093,228250000000
1094,228500000000
1095,228750000000
1096,229000000000
1097,229250000000
1098,229500000000
1099,229750000000
1100,230000000000
1101,230250000000
1102,230500000000
1103,230750000000
1104,231000000000
1105,231250000000
1106,231500000000
1107,231750000000
1108,232000000000
1109,232250000000
1110,232500000000
1111,232750000000
1112,233000000000
1113,233250000000
1114,233500000000
1115,233750000000
1116,234000000000
1117,234250000000
1118,234500000000
1119,234750000000
1120,235000000000
1121,235250000000
1122,235500000000
1123,235750000000
1124,236000000000
1125,236250000000
1126,236500000000
1127,236750000000
1128,237000000000
1129,237250000000
1130,237500000000
1131,237750000000
1132,238000000000
1133,238250000000
1134,238500000000
1135,238750000000
1136,239000000000
1137,239250000000
1138,239500000000
1139,239750000000
1140,240000000000
1141,240250000000
1142,240500000000
1143,240750000000
1144,241000000000
1145,241250000000
1146,241500000000
1147,241750000000
1148,242000000000
1149,242250000000
1150,242500000000
1151,242750000000
1152,243000000000
1153,243250000000
1154,243500000000
1155,243750000000
1156,244000000000
1157,244250000000
1158,244500000000
1159,244750000000
1160,245000000000
1161,245250000000
1162,245500000000
1163,245750000000
1164,246000000000
1165,246250000000
1166,246500000000
1167,246750000000
1168,247000000000
1169,247250000000
1170,247500000000
1171,247750000000
1172,248000000000
1173,248250000000
1174,248500000000
1175,248750000000
1176,249000000000
1177,249250000000
1178,249500000000
1179,249750000000
1180,250000000000
1181,250250000000
1182,250500000000
1183,250750000000
1184,251000000000
1185,251250000000
1186,251500000000
1187,251750000000
1188,252000000000
1189,252250000000
1190,252500000000
1191,252750000000
1192,253000000000
1193,253250000000
1194,253500000000
1195,253750000000
1196,254000000000
1197,254250000000
1198,254500000000
1199,254750000000
1200,255000000000
1201,255250000000
1202,255500000000
1203,255750000000
1204,256000000000
1205,256250000000
1206,256500000000
1207,256750000000
1208,257000000000
1209,257250000000
1210,257500000000
1211,257750000000
1212,258000000000
1213,258250000000
1214,258500000000
1215,258750000000
1216,259000000000
1217,259250000000
1218,259500000000
1219,259750000000
1220,260000000000
1221,260250000000
1222,260500000000
1223,260750000000
1224,261000000000
1225,261250000000
1226,261500000000
1227,261750000000
1228,262000000000
1229,262250000000
1230,262500000000
1231,262750000000
1232,263000000000
1233,263250000000
1234,263500000000
1235,263750000000
1236,264000000000
1237,264250000000
1238,264500000000
1239,264750000000
1240,265000000000
1241,265250000000
1242,265500000000
1243,265750000000
1244,266000000000
1245,266250000000
1246,266500000000
1247,266750000000
1248,267000000000
1249,267250000000
1250,267500000000
1251,267750000000
1252,268000000000
1253,268250000000
1254,268500000000
1255,268750000000
1256,269000000000
1257,269250000000
1258,269500000000
1259,269750000000
1260,270000000000
1261,270250000000
1262,270500000000
1263,270750000000
1264,271000000000
1265,271250000000
1266,271500000000
1267,271750000000
1268,272000000000
1269,272250000000
1270,272500000000
1271,272750000000
1272,273000000000
1273,273250000000
1274,273500000000
1275,273750000000
1276,274000000000
1277,274250000000
1278,274500000000
1279,274750000000
1280,275000000000
1281,275250000000
1282,275500000000
1283,275750000000
1284,276000000000
1285,276250000000
1286,276500000000
1287,276750000000
1288,277000000000
1289,277250000000
1290,277500000000
1291,277750000000
1292,278000000000
1293,278250000000
1294,278500000000
1295,278750000000
1296,279000000000
1297,279250000000
1298,279500000000
1299,279750000000
1300,280000000000
1301,280250000000
1302,280500000000
1303,280750000000
1304,281000000000
1305,281250000000
1306,281500000000
1307,281750000000
1308,282000000000
1309,282250000000
1310,282500000000
1311,282750000000
1312,283000000000
1313,283250000000
1314,283500000000
1315,283750000000
1316,284000000000
1317,284250000000
1318,284500000000
1319,284750000000
1320,285000000000
1321,285250000000
1322,285500000000
1323,285750000000
1324,286000000000
1325,286250000000
1326,286500000000
1327,286750000000
1328,287000000000
1329,287250000000
1330,287500000000
1331,287750000000
1332,288000000000
1333,288250000000
1334,288500000000
1335,288750000000
1336,289000000000
1337,289250000000
1338,289500000000
1339,289750000000
1340,290000000000
1341,290250000000
1342,290500000000
1343,290750000000
1344,291000000000
1345,291250000000
1346,291500000000
1347,291750000000
1348,292000000000
1349,292250000000
1350,292500000000
1351,292750000000
1352,293000000000
1353,293250000000
1354,293500000000
1355,293750000000
1356,294000000000
1357,294250000000
1358,294500000000
1359,294750000000
1360,295000000000
1361,295250000000
1362,295500000000
1363,295750000000
1364,296000000000
1365,296250000000
1366,296500000000
1367,296750000000
1368,297000000000
1369,297250000000
1370,297500000000
1371,297750000000
1372,298000000000
1373,298250000000
1374,298500000000
1375,298750000000
1376,299000000000
1377,299250000000
1378,299500000000
1379,299750000000
1380,300000000000
1381,300250000000
1382,300500000000
1383,300750000000
1384,301000000000
1385,301250000000
1386,301500000000
1387,301750000000
1388,302000000000
1389,302250000000
1390,302500000000
1391,302750000000
1392,303000000000
1393,303250000000
1394,303500000000
1395,303750000000
1396,304000000000
1397,304250000000
1398,304500000000
1399,304750000000
1400,305000000000
1401,305250000000
1402,305500000000
1403,305750000000
1404,306000000000
1405,306250000000
1406,306500000000
1407,306750000000
1408,307000000000
1409,307250000000
1410,307500000000
1411,307750000000
1412,308000000000
1413,308250000000
1414,308500000000
1415,308750000000
1416,309000000000
1417,309250000000
1418,309500000000
1419,309750000000
1420,310000000000
1421,310250000000
1422,310500000000
1423,310750000000
1424,311000000000
1425,311250000000
1426,311500000000
1427,311750000000
1428,312000000000
1429,312250000000
1430,312500000000
1431,312750000000
1432,313000000000
1433,313250000000
1434,313500000000
1435,313750000000
1436,314000000000
1437,314250000000
1438,314500000000
1439,314750000000
1440,315000000000
1441,315250000000
1442,315500000000
1443,315750000000
1444,316000000000
1445,316250000000
1446,316500000000
1447,316750000000
1448,317000000000
1449,317250000000
1450,317500000000
1451,317750000000
1452,318000000000
1453,318250000000
1454,318500000000
1455,318750000000
1456,319000000000
1457,319250000000
1458,319500000000
1459,319750000000
1460,320000000000
1461,320250000000
1462,320500000000
1463,320750000000
1464,321000000000
1465,321250000000
1466,321500000000
1467,321750000000
1468,322000000000
1469,322250000000
1470,322500000000
1471,322750000000
1472,323000000000
1473,323250000000
1474,323500000000
1475,323750000000
1476,324000000000
1477,324250000000
1478,324500000000
1479,324750000000
1480,325000000000
1481,325250000000
1482,325500000000
1483,325750000000
1484,326000000000
1485,326250000000
1486,326500000000
1487,326750000000
1488,327000000000
1489,327250000000
1490,327500000000
1491,327750000000
1492,328000000000
1493,328250000000
1494,328500000000
1495,328750000000
1496,329000000000
1497,329250000000
1498,329500000000
1499,329750000000
1500,330000000000
1501,330250000000
1502,330500000000
1503,330750000000
1504,331000000000
1505,331250000000
1506,331500000000
1507,331750000000
1508,332000000000
1509,332250000000
1510,332500000000
1511,332750000000
1512,333000000000
1513,333250000000
1514,333500000000
1515,333750000000
1516,334000000000
1517,334250000000
1518,334500000000
1519,334750000000
1520,335000000000
1521,335250000000
1522,335500000000
1523,335750000000
1524,336000000000
1525,336250000000
1526,336500000000
1527,336750000000
1528,337000000000
1529,337250000000
1530,337500000000
1531,337750000000
1532,338000000000
1533,338250000000
1534,338500000000
1535,338750000000
1536,339000000000
1537,339250000000
1538,339500000000
1539,339750000000
1540,340000000000
1541,340250000000
1542,340500000000
1543,340750000000
1544,341000000000
1545,341250000000
1546,341500000000
1547,341750000000
1548,342000000000
1549,342250000000
1550,342500000000
1551,342750000000
1552,343000000000
1553,343250000000
1554,343500000000
1555,343750000000
1556,344000000000
1557,344250000000
1558,344500000000
1559,344750000000
1560,345000000000
1561,345250000000
1562,345500000000
1563,345750000000
1564,346000000000
1565,346250000000
1566,346500000000
1567,346750000000
1568,347000000000
1569,347250000000
1570,347500000000
1571,347750000000
1572,348000000000
1573,348250000000
1574,348500000000
1575,348750000000
1576,349000000000
1577,349250000000
1578,349500000000
1579,349750000000
1580,350000000000
1581,350250000000
1582,350500000000
1583,350750000000
1584,351000000000
1585,351250000000
1586,351500000000
1587,351750000000
1588,352000000000
1589,352250000000
1590,352500000000
1591,352750000000
1592,353000000000
1593,353250000000
1594,353500000000
1595,353750000000
1596,354000000000
1597,354250000000
1598,354500000000
1599,354750000000
1600,355000000000
1601,355250000000
1602,355500000000
1603,355750000000
1604,356000000000
1605,356250000000
1606,356500000000
1607,356750000000
1608,357000000000
1609,357250000000
1610,357500000000
1611,357750000000
1612,358000000000
1613,358250000000
1614,358500000000
1615,358750000000
1616,359000000000
1617,359250000000
1618,359500000000
1619,359750000000
1620,360000000000
1621,360250000000
1622,360500000000
1623,360750000000
1624,361000000000
1625,361250000000
1626,361500000000
1627,361750000000
1628,362000000000
1629,362250000000
1630,362500000000
1631,362750000000
1632,363000000000
1633,363250000000
1634,363500000000
1635,363750000000
1636,364000000000
1637,364250000000
1638,364500000000
1639,364750000000
1640,365000000000
1641,365250000000
1642,365500000000
1643,365750000000
1644,366000000000
1645,366250000000
1646,366500000000
1647,366750000000
1648,367000000000
1649,367250000000
1650,367500000000
1651,367750000000
1652,368000000000
1653,368250000000
1654,368500000000
1655,368750000000
1656,369000000000
1657,369250000000
1658,369500000000
1659,369750000000
1660,370000000000
1661,370250000000
1662,370500000000
1663,370750000000
1664,371000000000
1665,371250000000
1666,371500000000
1667,371750000000
1668,372000000000
1669,372250000000
1670,372500000000
1671,372750000000
1672,373000000000
1673,373250000000
1674,373500000000
1675,373750000000
1676,374000000000
1677,374250000000
1678,374500000000
1679,374750000000
1680,375000000000
1681,375250000000
1682,375500000000
1683,375750000000
1684,376000000000
1685,376250000000
1686,376500000000
1687,376750000000
1688,377000000000
1689,377250000000
1690,377500000000
1691,377750000000
1692,378000000000
1693,378250000000
1694,378500000000
1695,378750000000
1696,379000000000
1697,379250000000
1698,379500000000
1699,379750000000
1700,380000000000
1701,380250000000
1702,380500000000
1703,380750000000
1704,381000000000
1705,381250000000
1706,381500000000
1707,381750000000
1708,382000000000
1709,382250000000
1710,382500000000
1711,382750000000
1712,383000000000
1713,383250000000
1714,383500000000
1715,383750000000
1716,384000000000
1717,384250000000
1718,384500000000
1719,384750000000
1720,385000000000
1721,385250000000
1722,385500000000
1723,385750000000
1724,386000000000
1725,386250000000
1726,386500000000
1727,386750000000
1728,387000000000
1729,387250000000
1730,387500000000
1731,387750000000
1732,388000000000
1733,388250000000
1734,388500000000
1735,388750000000
1736,389000000000
1737,389250000000
1738,389500000000
1739,389750000000
1740,390000000000
1741,390250000000
1742,390500000000
1743,390750000000
1744,391000000000
1745,391250000000
1746,391500000000
1747,391750000000
1748,392000000000
1749,392250000000
1750,392500000000
1751,392750000000
1752,393000000000
1753,393250000000
1754,393500000000
1755,393750000000
1756,394000000000
1757,394250000000
1758,394500000000
1759,394750000000
1760,395000000000
1761,395250000000
1762,395500000000
1763,395750000000
1764,396000000000
1765,396250000000
1766,396500000000
1767,396750000000
1768,397000000000
1769,397250000000
1770,397500000000
1771,397750000000
1772,398000000000
1773,398250000000
1774,398500000000
1775,398750000000
1776,399000000000
1777,399250000000
1778,399500000000
1779,399750000000
1780,400000000000
1781,400250000000
1782,400500000000
1783,400750000000
1784,401000000000
1785,401250000000
1786,401500000000
1787,401750000000
1788,402000000000
1789,402250000000
1790,402500000000
1791,402750000000
1792,403000000000
1793,403250000000
1794,403500000000
1795,403750000000
1796,404000000000
1797,404250000000
1798,404500000000
1799,404750000000
1800,405000000000
1801,405250000000
1802,405500000000
1803,405750000000
1804,406000000000
1805,406250000000
1806,406500000000
1807,406750000000
1808,407000000000
1809,407250000000
1810,407500000000
1811,407750000000
1812,408000000000
1813,408250000000
1814,408500000000
1815,408750000000
1816,409000000000
1817,409250000000
1818,409500000000
1819,409750000000
1820,410000000000
1821,410250000000
1822,410500000000
1823,410750000000
1824,411000000000
1825,411250000000
1826,411500000000
1827,411750000000
1828,412000000000
1829,412250000000
1830,412500000000
1831,412750000000
1832,413000000000
1833,413250000000
1834,413500000000
1835,413750000000
1836,414000000000
1837,414250000000
1838,414500000000
1839,414750000000
1840,415000000000
1841,415250000000
1842,415500000000
1843,415750000000
1844,416000000000
1845,416250000000
1846,416500000000
1847,416750000000
1848,417000000000
1849,417250000000
1850,417500000000
1851,417750000000
1852,418000000000
1853,418250000000
1854,418500000000
1855,418750000000
1856,419000000000
1857,419250000000
1858,419500000000
1859,419750000000
1860,420000000000
1861,420250000000
1862,420500000000
1863,420750000000
1864,421000000000
1865,421250000000
1866,421500000000
1867,421750000000
1868,422000000000
1869,422250000000
1870,422500000000
1871,422750000000
1872,423000000000
1873,423250000000
1874,423500000000
1875,423750000000
1876,424000000000
1877,424250000000
1878,424500000000
1879,424750000000
1880,425000000000
1881,425250000000
1882,425500000000
1883,425750000000
1884,426000000000
1885,426250000000
1886,426500000000
1887,426750000000
1888,427000000000
1889,427250000000
1890,427500000000
1891,427750000000
1892,428000000000
1893,428250000000
1894,428500000000
1895,428750000000
1896,429000000000
1897,429250000000
1898,429500000000
1899,429750000000
1900,430000000000
1901,430250000000
1902,430500000000
